id;status;name;value;organisation_id;customer_id;vendor_id;user_id
1;1;qc_clean_up_time;10;-1;-1;-1;-1
2;1;defaultStorage;s3;-1;-1;-1;-1
3;1;downloadBucketName;objects-upload;-1;-1;-1;-1
4;1;downloadRegion;ap-south-1;-1;-1;-1;-1
5;1;downloadAccessKey;AKIART6S2XPD6CH4Y23I;-1;-1;-1;-1
6;1;downloadAccessSecret;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;-1;-1;-1;-1
7;1;downloadPrefix;downloads;-1;-1;-1;-1
8;1;uploadBucketName;objects-upload;-1;-1;-1;-1
9;1;uploadRegion;ap-south-1;-1;-1;-1;-1
10;1;uploadAccessKey;AKIART6S2XPD6CH4Y23I;-1;-1;-1;-1
11;1;uploadAccessSecret;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;-1;-1;-1;-1
12;1;uploadPrefix;uploads;-1;-1;-1;-1
13;1;fromEmail;noreply@haidata.ai;-1;-1;-1;-1
14;1;emailToken;PHtE6r1ZQujq2DUpoUBW5P+7FZP1Ndssqb80JFEStNkXX/ACGU1d/dl4wTC//0gtA6FGF/adz95utu6etr3Tdz28Mz5MXmqyqK3sx/VYSPOZsbq6x00cs1QcdEHdXIbod9Zu3SLQut7bNA==;-1;-1;-1;-1
15;1;version;1.0.0;-1;-1;-1;-1
